county,unemployment,med_income
19057,4.2,"53,917"
19059,2.8,"67,949"
19061,2.8,"73,968"
19063,2.9,"52,000"
19065,3.1,"56,366"
19067,2.9,"59,638"
19069,2.5,"60,269"
19071,2.4,"68,622"
19073,2.0,"57,737"
19075,2.5,"71,652"
19077,2.8,"66,112"
19079,2.8,"64,292"
19081,2.3,"61,544"
19083,3.0,"58,126"
19085,2.7,"67,433"
19087,2.9,"61,112"
19089,3.1,"58,857"
19091,2.4,"69,252"
19093,2.2,"58,792"
19095,2.5,"66,613"
19097,3.2,"61,307"
19099,3.0,"65,714"
19101,2.5,"52,763"
19103,2.3,"68,664"
19105,3.2,"62,810"
19107,3.0,"56,843"
19109,2.3,"62,571"
19111,4.4,"56,001"
19113,3.1,"70,464"
19115,3.1,"64,151"
19117,2.1,"64,796"
19119,1.8,"70,654"
19121,3.1,"82,730"
19123,2.4,"62,776"
19125,2.1,"69,307"
19127,5.3,"63,541"
19129,2.3,"76,917"
19131,2.0,"61,719"
19133,2.9,"56,394"
19135,2.8,"62,014"
19137,2.5,"53,399"
19139,3.0,"63,519"
19141,2.1,"62,959"
19143,1.8,"62,624"
19145,2.4,"55,317"
19147,2.5,"57,866"
19149,2.1,"74,002"
19151,2.1,"59,634"
19153,2.7,"73,276"
19155,2.8,"66,144"
19157,2.7,"60,542"
19159,2.3,"52,849"
19161,2.4,"66,007"
19163,3.2,"66,443"
19165,2.2,"64,534"
19167,1.9,"84,283"
19169,2.0,"65,137"
19171,3.3,"61,660"
19173,2.0,"54,458"
19175,2.7,"55,698"
19177,2.8,"53,210"
19179,3.2,"55,297"
19181,2.4,"85,704"
19183,2.6,"65,761"
19185,2.5,"53,282"
19187,3.0,"55,183"
19189,2.7,"59,949"
19191,3.1,"70,482"
19193,2.7,"60,110"
19195,2.7,"64,965"
19197,2.6,"61,072"
20000,2.7,"64,128"
20001,2.9,"50,794"
20003,2.3,"57,068"
20005,3.5,"57,445"
20007,2.1,"56,344"
20009,2.6,"54,236"
20011,3.5,"51,355"
20013,2.4,"52,446"
20015,2.8,"71,826"
20017,2.2,"57,415"
20019,2.8,"46,986"
20021,2.6,"51,353"
20023,2.4,"49,281"
20025,2.0,"58,699"
20027,2.6,"59,343"
20029,2.7,"50,176"
20031,3.5,"64,991"
20033,2.2,"51,548"
20035,3.0,"51,699"
20037,2.9,"47,718"
20039,2.9,"49,062"
20041,2.8,"60,693"
20043,2.6,"59,400"
20045,2.6,"59,763"
20047,2.3,"40,896"
20049,2.7,"45,405"
20051,2.0,"58,846"
20053,2.3,"59,368"
20055,2.1,"62,157"
20057,2.1,"67,105"
20059,2.4,"64,136"
20061,3.8,"54,104"
20063,2.1,"58,442"
20065,2.4,"49,884"
20067,2.9,"64,425"
20069,2.0,"69,219"
20071,1.5,"65,448"
20073,2.4,"50,157"
20075,1.7,"61,066"
20077,2.1,"49,103"
20079,2.5,"65,989"
20081,1.9,"66,245"
20083,2.0,"65,042"
20085,2.3,"54,623"
20087,2.7,"73,702"
20089,2.6,"52,362"
20091,2.3,"93,220"
20093,1.9,"76,518"
20095,2.4,"58,917"
20097,2.2,"55,600"
20099,3.0,"49,185"
20101,2.9,"61,506"
20103,2.9,"81,325"
20105,2.4,"53,199"
20107,3.9,"57,104"
20109,1.9,"61,365"
20111,2.5,"51,420"
20113,1.9,"64,853"
20115,2.4,"56,983"
20117,2.0,"55,737"
20119,1.9,"68,909"
20121,2.6,"77,550"
20123,2.0,"59,001"
20125,3.1,"49,251"
20127,2.3,"53,808"
20129,2.7,"57,476"
20131,1.8,"68,755"
20133,3.6,"51,056"
20135,2.2,"57,269"
20137,1.9,"52,131"
20139,2.8,"63,166"
20141,2.0,"52,866"
20143,2.5,"58,366"
20145,2.4,"54,004"
20147,2.2,"54,720"
20149,2.4,"78,296"
20151,2.1,"58,506"
20153,1.8,"49,823"
20155,2.8,"52,121"
20157,2.1,"50,131"
20159,2.3,"58,384"
20161,2.7,"57,144"
20163,2.6,"51,957"
20165,2.2,"53,110"
20167,2.3,"48,071"
20169,2.4,"57,643"
20171,1.8,"66,233"
20173,3.1,"60,540"
20175,2.6,"61,897"
20177,2.7,"56,625"
20179,1.9,"58,786"
20181,2.3,"54,207"
20183,2.0,"49,756"
20185,2.4,"52,542"
20187,1.9,"65,457"
20189,2.0,"64,368"
