county,total,white,black,native,asian,other
17095,49751,83.667,8.151,0.07,1.003,7.109
17097,713159,67.13,6.775,0.72,8.464,16.912
17099,109495,88.289,2.753,0.037,0.886,8.036
17101,15302,86.231,8.025,0.222,0.438,5.084
17103,34221,88.072,5.26,0.041,0.611,6.017
17105,35771,91.384,3.598,0.014,0.528,4.476
17107,28027,88.7,6.048,0.2,0.296,4.756
17109,27370,88.14,5.345,0.015,2.503,3.997
17111,311133,86.019,1.539,0.181,2.86,9.4
17113,171284,80.953,8.49,0.182,5.07,5.305
17115,103542,76.029,17.031,0.031,1.352,5.557
17117,44907,95.341,1.078,0.127,0.459,2.995
17119,265512,85.008,8.566,0.142,0.959,5.325
17121,37543,91.149,4.336,0.035,0.677,3.804
17123,11740,94.37,0.571,0.009,0.179,4.872
17125,13074,96.443,0.497,0.061,0.306,2.692
17127,14135,88.32,6.608,0,0.396,4.676
17129,12284,95.873,0.944,0,0.383,2.8
17131,15692,95.342,0.612,0,0.472,3.575
17133,34905,96.565,0.622,0.123,0.613,2.077
17135,28352,93.563,2.751,0.127,0.466,3.093
17137,32882,88.802,5.103,0.128,0.769,5.197
17139,14531,96.325,1.012,0.007,0.145,2.512
17141,51672,89.559,1.076,0.395,0.488,8.482
17143,181186,70.071,17.578,0.167,4.471,7.714
17145,20996,87.012,7.878,0.048,0.624,4.439
17147,16698,96.029,0.976,0.09,0.072,2.833
17149,14776,96.339,0.69,0.041,0.298,2.633
17151,3799,90.05,3.317,3.001,0.026,3.606
17153,5177,63.821,31.485,0.039,0.212,4.443
17155,5628,94.367,0.338,0.018,0.729,4.549
17157,30413,87.472,7.983,0.079,0.7,3.765
17159,15716,94.757,0.617,0.032,0.299,4.295
17161,143819,75.038,10.711,0.214,2.624,11.413
17163,256791,61.876,28.308,0.357,1.566,7.893
17165,23662,92.942,2.489,0.076,0.706,3.787
17167,196122,79.88,12.697,0.088,2.179,5.155
17169,6879,92.717,3.707,0.015,0.334,3.227
17171,4899,95.795,0,0.122,0.776,3.307
17173,21042,97.101,0.285,0.162,0.342,2.11
17175,5395,94.328,1.112,0.019,0.853,3.689
17177,44482,83.285,8.68,0.175,0.91,6.949
17179,131276,94.447,1.168,0.11,1.082,3.193
17181,17122,91.309,1.483,0.234,0.345,6.629
17183,74113,79.603,14.522,0.117,0.982,4.775
17185,11321,93.499,0.963,0.035,1.21,4.293
17187,16760,84.911,3.807,1.008,1.48,8.795
17189,13781,96.111,0.776,0.08,0.21,2.823
17191,16127,96.205,0.787,0,0.539,2.468
17193,13834,96.711,0.773,0.072,0.492,1.952
17195,55569,88.981,1.146,0.234,0.61,9.028
17197,696774,67.811,11.542,0.435,5.914,14.298
17199,67120,89.4,3.305,0.48,1.541,5.276
17201,284591,71.72,13.391,0.293,2.868,11.727
17203,38414,95.564,0.638,0.036,0.554,3.207
18001,35827,94.51,0.595,0.025,0.142,4.728
18003,385456,74.381,11.234,0.207,4.725,9.453
18005,82371,82.082,1.616,0.092,8.07,8.14
18007,8709,93.8,1.194,0.046,0.057,4.903
18009,12074,95.271,1.027,0.108,0.141,3.454
18011,71235,89.678,2.156,0.052,3.126,4.988
18013,15513,96.023,0.593,0.348,0.567,2.469
18015,20397,95.774,0.701,0.034,0.113,3.378
18017,37820,82.192,1.306,0.537,1.417,14.548
18019,121484,84.615,7.103,0.323,1.042,6.917
18021,26396,95.249,0.379,0.019,0.208,4.145
18023,33020,85.142,0.763,0.003,0.469,13.622
18025,10511,95.291,0.78,0,0.086,3.844
18027,33337,92.18,1.593,0.081,0.243,5.903
18029,50709,96.226,0.564,0.016,0.546,2.648
18031,26432,94.397,0.219,0.004,0.594,4.786
18033,43312,95.389,0.236,0.069,0.545,3.761
18035,112156,87.134,6.24,0.083,1.564,4.979
18037,43584,90.861,1.604,0.211,0.505,6.819
18039,206841,79.642,4.964,0.332,1.078,13.984
18041,23391,94.609,1.188,0.252,0.184,3.766
18043,80191,88.024,5.045,0.106,1.167,5.658
18045,16468,95.464,0.291,0.231,0.534,3.479
18047,22850,96.7,0.092,0,0.578,2.63
18049,20420,91.2,1.18,0.093,0.088,7.439
18051,33006,91.456,1.788,0.021,0.482,6.253
18053,66560,86.032,6.822,0.285,0.847,6.013
18055,30900,96.715,0.599,0.084,0.146,2.456
18057,349527,83.221,4.08,0.073,6.456,6.17
18059,80170,91.133,2.708,0.155,0.863,5.142
18061,39684,96.24,0.743,0.01,0.648,2.359
18063,175639,82.508,8.102,0.174,3.229,5.986
18065,48913,93.587,2.431,0.131,0.497,3.355
18067,83452,85.624,7.85,0.195,1.25,5.081
18069,36699,94.798,0.937,0.202,0.703,3.36
18071,46212,87.319,1.095,0.372,1.831,9.383
18073,33045,89.699,1.011,0.057,0.154,9.079
18075,20451,94.998,0.288,0.117,0.425,4.171
18077,33057,93.602,2.099,0.142,0.75,3.406
18079,27610,95.255,0.79,0.138,0.235,3.582
18081,161952,87.738,2.6,0.093,4.222,5.347
18083,36148,91.72,2.304,0.053,0.935,4.988
18085,80442,89.583,0.742,0.326,1.522,7.828
18087,40364,95.015,0.171,0.032,0.097,4.685
18089,497682,58.673,23.298,0.325,1.505,16.199
18091,112215,80.185,10.692,0.211,0.628,8.283
18093,45113,95.097,0.335,0.226,0.7,3.642
18095,130545,85.593,7.968,0.217,0.589,5.633
18097,971737,56.441,28.203,0.253,3.935,11.168
18099,46208,92.034,0.764,0.296,0.688,6.218
18101,9863,95.894,0.203,0.112,0.02,3.772
18103,35952,88.446,4.161,0.225,0.509,6.659
18105,140065,84.412,3.643,0.138,6.595,5.213
18107,38018,91.959,0.823,0.008,0.426,6.784
18109,71757,95.361,0.47,0.017,0.599,3.554
18111,13829,91.482,1.135,0.072,0.239,7.072
18113,47431,91.059,0.365,0.135,0.692,7.75
18115,5974,94.777,0.301,0.435,0.435,4.051
18117,19768,93.479,1.629,0.03,0.435,4.426
18119,21361,95.852,0.492,0.042,0.515,3.099
18121,16327,94.684,1.88,0.043,0,3.393
18123,19186,93.349,3.179,0.214,0.704,2.554
18125,12227,96.115,0.573,0.09,0.245,2.977
18127,173355,86.475,4.09,0.103,1.38,7.952
18129,25226,95.223,1.269,0.032,0.444,3.033
18131,12498,93.087,0.192,0.08,0.256,6.385
18133,36942,92.545,2.664,0.114,2.669,2.009
18135,24586,92.78,0.212,0.077,0.447,6.483
18137,28990,95.75,0.335,0,0.704,3.211
18139,16716,96.62,0.574,0,0.066,2.74
18141,272388,73.906,12.882,0.304,2.55,10.358
18143,24403,94.677,0.152,0.287,0.057,4.827
